result	

index	loss			mse			val_loss		val_mse	
1		12.650273478220	3458.388813321553	11.266168832779	2948.631794117115
2		11.856859502338	3331.174921792651	11.025990283048	2914.397140220360
3		11.559543526362	3267.828497508216	10.988645491777	2902.782020568848
4		11.367693129040	3234.486573476640	10.774512979719	2858.904444094057
5		11.103677155480	3171.000151740180	10.689296510484	2811.053259390372
6		10.848554115447	3085.217352246481	10.770908514659	2827.344604209618
7		10.611255823620	3008.896615285722	10.714847494055	2759.951026916504
8		10.378493138722	2916.195399693080	10.763397578840	2771.821317884657
9		10.152404372654	2849.689102051750	10.769525492633	2747.401740462692
10		9.852074467947	2668.648833017501	10.811797627696	2743.097422281901

max_length=200
min_count=2, size=270, iter=10, sg=1, workers=10
